編號,案類,發生(現)日期,發生時段,發生(現)地點
328,住宅竊盜,1040731,22~24,台北市中山區民權西路61~90號
329,住宅竊盜,1040801,22~24,台北市中山區林森北路107巷31~60號
330,住宅竊盜,1040803,22~24,台北市文山區木柵里木柵路三段85巷23弄1-30號
331,住宅竊盜,1040804,04~06,台北市士林區新安里7鄰仰德大路三段106巷1-30號
332,住宅竊盜,1040805,13~15,台北市松山區南京東路五段123巷1弄1-30號
333,住宅竊盜,1040806,13~15,台北市內湖區內湖路二段103巷119弄1-30號
334,住宅竊盜,1040806,16~18,台北市北投區開明里復興四路8巷1-30號
335,住宅竊盜,1040807,01~03,台北市中山區松江路108巷1-30號
336,住宅竊盜,1040810,13~15,台北市萬華區西園路二段372巷3弄31-60號
337,住宅竊盜,1040810,16~18,台北市內湖區安泰街49巷1-30號
338,住宅竊盜,1040810,19~21,台北市中山區林森北路391-420號
339,住宅竊盜,1040810,19~21,台北市中山區龍江路377巷1-30號
340,住宅竊盜,1040811,04~06,台北市士林區社新里社子街61-90號
341,住宅竊盜,1040811,10~12,台北市士林區臨溪里9鄰至善路二段342巷1-30號
342,住宅竊盜,1040812,07~09,台北市大同區建明里華陰街72巷1~30號
343,住宅竊盜,1040812,19~21,台北市中山區林森北路107巷61-90號
344,住宅竊盜,1040813,13~15,台北市信義區黎平里和平東路三段301-330號
345,住宅竊盜,1040813,16~18,台北市北投區湖山里紗帽路1-30號
346,住宅竊盜,1040814,07~09,台北市大安區錦安里麗水街31~60號
347,住宅竊盜,1040814,10~12,台北市文山區木柵里7鄰木柵路三段85巷8弄1-30號
348,住宅竊盜,1040815,07~09,台北市大同區迪化街二段151-180號
349,住宅竊盜,1040815,07~09,台北市信義區大道里林口街181~210號
350,住宅竊盜,1040815,10~12,台北市大安區大學里新生南路三段70巷2弄1~30號
351,住宅竊盜,1040815,13~15,台北市大同區建明里華陰街72巷1~30號
352,住宅竊盜,1040815,13~15,台北市大安區誠安里忠孝東路三段301-330號
353,住宅竊盜,1040817,01~03,台北市北投區八仙里崇仁路一段159巷1-30號
354,住宅竊盜,1040817,01~03,台北市信義區四維里松山路241-270號
